Time,accX,accY,accZ
39.72936,-49.0,63.0,1006.0
39.736032,-52.0,63.0,1008.0
39.742692,-49.0,59.0,1011.0
39.749364,-48.0,59.0,1018.0
39.756024,-54.0,65.0,1015.0
39.762696,-50.0,68.0,1024.0
39.769356,-56.0,68.0,1022.0
39.776028,-53.0,63.0,1029.0
39.782688,-45.0,62.0,1032.0
39.789359999999995,-51.0,65.0,1033.0
39.79602,-54.0,70.0,1029.0
39.802692,-53.0,69.0,1031.0
39.809352,-54.0,69.0,1027.0
39.816024,-52.0,73.0,1034.0
39.822683999999995,-54.0,65.0,1030.0
39.829356,-48.0,68.0,1033.0
39.836024,-53.0,73.0,1032.0
39.842687999999995,-52.0,67.0,1037.0
39.849351999999996,-53.0,74.0,1022.0
39.85602,-54.0,70.0,1013.0
39.862684,-50.0,74.0,1022.0
39.869352,-57.0,65.0,1010.0
39.876016,-53.0,64.0,1010.0
39.882684,-55.0,63.0,1008.0
39.889351999999995,-51.0,65.0,1011.0
39.896015999999996,-50.0,66.0,993.0
39.902684,-50.0,67.0,1003.0
39.909348,-50.0,65.0,1008.0
39.916011999999995,-53.0,70.0,1000.0
39.92268,-49.0,63.0,1005.0
39.929344,-50.0,65.0,1003.0
39.936012,-52.0,69.0,1007.0
39.942676,-50.0,65.0,1004.0
39.949343999999996,-54.0,60.0,1009.0
39.956012,-50.0,68.0,1017.0
39.962676,-54.0,62.0,1012.0
39.969344,-53.0,60.0,1019.0
39.976008,-52.0,68.0,1022.0
39.982676,-55.0,65.0,1022.0
39.98934,-52.0,70.0,1024.0
39.996007999999996,-49.0,64.0,1034.0
40.002672,-53.0,69.0,1030.0
40.00934,-55.0,67.0,1035.0
40.016003999999995,-51.0,71.0,1035.0
40.022667999999996,-54.0,65.0,1031.0
40.029336,-57.0,69.0,1035.0
40.036,-50.0,71.0,1033.0
40.04266,-53.0,69.0,1033.0
40.049336,-50.0,75.0,1028.0
40.055991999999996,-51.0,63.0,1028.0
40.062664,-47.0,70.0,1023.0
40.069324,-50.0,65.0,1023.0
40.075995999999996,-54.0,68.0,1016.0
40.082656,-55.0,71.0,1015.0
40.089328,-56.0,67.0,1018.0
40.095991999999995,-53.0,61.0,1011.0
40.102664,-46.0,63.0,1013.0
40.10932,-50.0,67.0,1000.0
40.115995999999996,-51.0,63.0,999.0
40.122651999999995,-49.0,62.0,1008.0
40.129328,-52.0,67.0,1002.0
40.135984,-51.0,59.0,1000.0
40.14266,-50.0,64.0,1001.0
40.149316,-53.0,66.0,1004.0
40.155988,-51.0,63.0,1003.0
40.162648,-50.0,58.0,1003.0
40.169323999999996,-50.0,63.0,1013.0
40.175988,-53.0,67.0,1012.0
40.182652,-53.0,67.0,1015.0
40.189319999999995,-52.0,64.0,1023.0
40.195983999999996,-52.0,66.0,1021.0
40.202652,-51.0,71.0,1021.0
40.209316,-53.0,74.0,1033.0
40.215984,-56.0,65.0,1029.0
40.222648,-48.0,68.0,1031.0
40.229316,-50.0,66.0,1026.0
40.23598,-54.0,66.0,1034.0
40.242647999999996,-56.0,62.0,1027.0
40.249316,-56.0,71.0,1036.0
40.25598,-50.0,69.0,1030.0
40.262648,-54.0,64.0,1026.0
40.269312,-53.0,68.0,1034.0
40.27598,-53.0,66.0,1032.0
40.28264,-56.0,67.0,1019.0
40.289311999999995,-51.0,66.0,1016.0
40.295972,-50.0,71.0,1022.0
40.302644,-51.0,68.0,1016.0
40.309308,-53.0,67.0,1008.0
40.315976,-50.0,62.0,1015.0
40.32264,-52.0,59.0,1010.0
40.329304,-50.0,66.0,1001.0
40.335972,-52.0,66.0,996.0
40.342636,-54.0,61.0,1001.0
40.349304,-47.0,59.0,1002.0
40.355972,-52.0,67.0,1005.0
40.362632,-50.0,64.0,999.0
40.369304,-48.0,65.0,997.0
40.375963999999996,-47.0,61.0,1003.0
40.382636,-54.0,65.0,1007.0
40.3893,-51.0,61.0,1012.0
40.395959999999995,-52.0,67.0,1013.0
40.402632,-50.0,62.0,1025.0
40.409292,-50.0,62.0,1018.0
40.415963999999995,-50.0,65.0,1020.0
40.422624,-56.0,65.0,1021.0
40.429296,-53.0,64.0,1028.0
40.435956,-54.0,66.0,1023.0
40.442628,-55.0,66.0,1028.0
40.449287999999996,-55.0,69.0,1032.0
40.45596,-53.0,69.0,1028.0
40.46262,-56.0,71.0,1033.0
40.469291999999996,-56.0,65.0,1028.0
40.475952,-49.0,62.0,1028.0
40.482624,-52.0,66.0,1028.0
40.48928,-53.0,66.0,1026.0
40.495956,-51.0,68.0,1025.0
40.502615999999996,-49.0,61.0,1028.0
40.509288,-48.0,73.0,1020.0
40.515952,-54.0,58.0,1012.0
40.522619999999996,-51.0,63.0,1009.0
40.529284,-49.0,64.0,1010.0
40.535952,-49.0,62.0,1006.0
40.542615999999995,-53.0,73.0,1008.0
40.549284,-46.0,65.0,1007.0
40.555948,-46.0,65.0,997.0
40.562612,-51.0,67.0,999.0
40.569283999999996,-49.0,66.0,1000.0
40.575944,-48.0,65.0,1001.0
40.582616,-52.0,60.0,1002.0
40.589276,-52.0,61.0,1011.0
40.595948,-53.0,61.0,1003.0
40.602612,-53.0,59.0,1014.0
40.609276,-52.0,69.0,1013.0
40.615944,-46.0,71.0,1016.0
40.622608,-49.0,63.0,1018.0
40.629276,-52.0,68.0,1027.0
40.635943999999995,-53.0,70.0,1022.0
40.642607999999996,-56.0,62.0,1020.0
40.649276,-51.0,69.0,1035.0
40.65594,-53.0,67.0,1035.0
40.662608,-54.0,65.0,1036.0
40.669272,-55.0,70.0,1033.0
40.675936,-55.0,71.0,1034.0
40.682604,-54.0,67.0,1033.0
40.689268,-56.0,67.0,1029.0
40.695935999999996,-56.0,64.0,1027.0
40.702604,-53.0,64.0,1030.0
40.709264,-50.0,71.0,1024.0
40.715936,-54.0,68.0,1023.0
40.7226,-53.0,73.0,1025.0
40.729268,-47.0,62.0,1022.0
