"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
6.812434260E-1,5.089202881E0,-2.189346313E0,8.469085693E-1,5.604505096E0
6.836237970E-1,5.080642700E0,-2.181411743E0,8.352966309E-1,5.591887687E0
6.860041680E-1,5.065979004E0,-2.171020508E0,8.243103027E-1,5.572877245E0
6.884150570E-1,5.052551270E0,-2.155136108E0,8.126983643E-1,5.552779899E0
6.907954280E-1,5.037887573E0,-2.134368896E0,8.016967773E-1,5.529788378E0
6.931757990E-1,5.022003174E0,-2.108718872E0,7.907104492E-1,5.503856300E0
6.955866880E-1,5.004287720E0,-2.076950073E0,7.803192139E-1,5.474076659E0
6.979670590E-1,4.986572266E0,-2.040298462E0,7.705535889E-1,5.442653177E0
7.003474300E-1,4.966415405E0,-1.999969482E0,7.583312988E-1,5.407423256E0
7.027583190E-1,4.946868896E0,-1.953552246E0,7.479400635E-1,5.370967566E0
7.051386900E-1,4.926101685E0,-1.902847290E0,7.387847900E-1,5.332270490E0
7.075190610E-1,4.901657104E0,-1.848480225E0,7.314605713E-1,5.289438163E0
7.098994320E-1,4.877227783E0,-1.789230347E0,7.241210938E-1,5.245288118E0
7.123103210E-1,4.852188110E0,-1.725082397E0,7.192382812E-1,5.199705996E0
7.147212090E-1,4.824691772E0,-1.657287598E0,7.173919678E-1,5.151592386E0
7.171015800E-1,4.795364380E0,-1.584579468E0,7.155761719E-1,5.100829431E0
7.195124690E-1,4.765441895E0,-1.509445190E0,7.155761719E-1,5.049743606E0
7.218928400E-1,4.733062744E0,-1.434921265E0,7.173919678E-1,4.997552722E0
7.242732110E-1,4.700073242E0,-1.357955933E0,7.204589844E-1,4.945077749E0
7.266841000E-1,4.665252686E0,-1.278533936E0,7.241210938E-1,4.891173990E0
7.290644710E-1,4.627380371E0,-1.200347900E0,7.283935547E-1,4.835704845E0
7.314448420E-1,4.590118408E0,-1.125213623E0,7.314605713E-1,4.782293097E0
7.338557310E-1,4.549194336E0,-1.050674438E0,7.369384766E-1,4.726749856E0
7.362361020E-1,4.509475708E0,-9.761657715E-1,7.442779541E-1,4.673566138E0
7.386164730E-1,4.467330933E0,-9.065246582E-1,7.485656738E-1,4.619435375E0
