"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
4.158630370E-1,1.418151855E-1,4.562377930E-2,1.741027832E-2,1.499873124E-1
4.182739260E-1,1.460723877E-1,5.722045898E-2,1.924133301E-2,1.580555354E-1
4.206542970E-1,1.485290527E-1,6.944274902E-2,1.924133301E-2,1.650860497E-1
4.230346680E-1,1.521911621E-1,7.798767090E-2,2.107238770E-2,1.723028501E-1
4.254455570E-1,1.558532715E-1,8.776855469E-2,2.229309082E-2,1.802513338E-1
4.278259280E-1,1.576843262E-1,9.754943848E-2,2.351379395E-2,1.869040882E-1
4.302062990E-1,1.601409912E-1,1.018066406E-1,2.473449707E-2,1.913675116E-1
4.326171880E-1,1.619567871E-1,1.054840088E-1,2.473449707E-2,1.948555166E-1
4.349975590E-1,1.631774902E-1,1.054840088E-1,2.229309082E-2,1.955779930E-1
4.373779300E-1,1.619567871E-1,1.036529541E-1,2.046203613E-2,1.933717423E-1
4.397888180E-1,1.638031006E-1,1.012115479E-1,1.741027832E-2,1.933348157E-1
4.421691900E-1,1.638031006E-1,9.754943848E-2,1.434326172E-2,1.911885924E-1
4.445495610E-1,1.650238037E-1,9.082031250E-2,1.068115234E-2,1.886670930E-1
4.469604490E-1,1.656341553E-1,8.471679688E-2,8.239746094E-3,1.862243338E-1
4.493408200E-1,1.656341553E-1,7.981872559E-2,7.629394531E-3,1.840214933E-1
4.517211910E-1,1.668548584E-1,7.737731934E-2,7.629394531E-3,1.840815063E-1
4.541015630E-1,1.680755615E-1,7.798767090E-2,9.460449219E-3,1.855288961E-1
4.565124510E-1,1.705169678E-1,8.532714844E-2,1.190185547E-2,1.910455776E-1
4.588928220E-1,1.705169678E-1,8.898925781E-2,1.252746582E-2,1.927487009E-1
4.612731930E-1,1.662445068E-1,8.959960938E-2,1.129150391E-2,1.891899155E-1
4.636840820E-1,1.613616943E-1,8.044433594E-2,9.460449219E-3,1.805502359E-1
4.660644530E-1,1.540222168E-1,6.761169434E-2,8.850097656E-3,1.684414103E-1
4.684448240E-1,1.491394043E-1,5.416870117E-2,8.239746094E-3,1.588858191E-1
4.708557130E-1,1.479187012E-1,4.133605957E-2,1.007080078E-2,1.539156685E-1
4.732666020E-1,1.491394043E-1,4.072570801E-2,1.374816895E-2,1.552100427E-1
